Time,Open,High,Low,Close,Volume,average,barCount,spread,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,Ren_Value,Blue,Red,Increase,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,EndTime_fr,HI_Value,BearWarning,BullWarning,peak,crust,atr,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,returns,t_dir
2025-12-23 09:00:00-05:00,1.177475,1.17795,1.176845,1.17693,-1.0,-1.0,-1,0.0001,1.1785720000000002,1.1772025,1.1781883333333332,0,1,0,0,0,0,1.175965,0,1,1,0,0,0,1.180205,1.0,2025-12-23 09:00:00-05:00,1.180205,False,False,0,1,0.0009678571428571711,1,0,0,0,0,0,-0.0004629619880474156,0
2025-12-23 10:00:00-05:00,1.17693,1.177915,1.1764,1.177425,-1.0,-1.0,-1,0.0001,1.1780760000000001,1.1771775,1.17816875,0,0,0,1,0,1,1.175965,0,1,1,0,0,0,1.180205,0.0,2025-12-23 10:00:00-05:00,1.180205,False,True,0,0,0.0010028571428571942,0,0,0,0,0,0,0.00042049733986061533,1
2025-12-23 11:00:00-05:00,1.177425,1.17805,1.177335,1.177565,-1.0,-1.0,-1,0.0001,1.177673,1.177495,1.1781716666666668,0,0,0,1,0,1,1.175965,0,1,1,0,0,0,1.180205,0.0,2025-12-23 11:00:00-05:00,1.17805,False,False,0,0,0.000997500000000048,0,0,0,0,0,0,0.00011889647103795256,1
2025-12-23 12:00:00-05:00,1.177565,1.17788,1.176905,1.177085,-1.0,-1.0,-1,0.0001,1.1772960000000001,1.177325,1.17813625,0,0,1,0,0,1,1.175965,0,1,1,0,0,0,1.1764,2.0,2025-12-23 12:00:00-05:00,1.17788,False,False,0,0,0.001023571428571457,0,0,1,0,0,0,-0.0004077039106864807,0
2025-12-23 13:00:00-05:00,1.177085,1.17832,1.176965,1.178295,-1.0,-1.0,-1,0.0001,1.17746,1.1776900000000001,1.1782341666666667,0,0,1,0,0,1,1.175965,0,1,1,0,0,0,1.1764,0.0,2025-12-23 13:00:00-05:00,1.17832,False,False,0,0,0.0010810714285714531,0,0,0,0,0,0,0.0010274351539388464,1
2025-12-23 14:00:00-05:00,1.178295,1.179145,1.178205,1.179015,-1.0,-1.0,-1,0.0001,1.1778769999999998,1.178655,1.1783295833333334,0,0,1,0,0,0,1.175965,0,1,1,0,0,0,1.1764,0.0,2025-12-23 14:00:00-05:00,1.17832,False,False,0,0,0.0011096428571428943,0,0,0,0,0,0,0.000610865793967923,1
2025-12-23 15:00:00-05:00,1.179015,1.17937,1.178705,1.178955,-1.0,-1.0,-1,0.0001,1.178183,1.178985,1.1783720833333333,0,0,1,0,0,0,1.175965,0,1,1,0,0,0,1.1764,0.0,2025-12-23 15:00:00-05:00,1.17832,True,False,0,0,0.0011017857142857634,0,0,0,0,0,1,-5.089123272383012e-05,0
2025-12-23 16:00:00-05:00,1.178955,1.17971,1.17885,1.179475,-1.0,-1.0,-1,0.0001,1.178565,1.1792150000000001,1.1783895833333335,1,0,0,0,1,0,1.175965,0,1,1,0,0,0,1.1764,0.0,2025-12-23 16:00:00-05:00,1.17832,False,False,0,0,0.0010760714285714837,0,0,0,0,0,0,0.00044097133128952193,1
2025-12-23 17:15:00-05:00,1.179325,1.179585,1.17928,1.17948,-1.0,-1.0,-1,0.0001,1.179044,1.1794775,1.1783541666666666,1,0,0,0,1,0,1.175965,0,1,1,0,0,0,1.1764,0.0,2025-12-23 17:15:00-05:00,1.17832,False,False,0,0,0.0010317857142857648,0,0,0,0,0,0,4.23916522372396e-06,1
2025-12-23 18:00:00-05:00,1.17948,1.17973,1.17935,1.179475,-1.0,-1.0,-1,0.0001,1.1792799999999999,1.1794775,1.1783454166666667,1,0,0,0,1,0,1.175965,0,1,1,0,0,0,1.1764,0.0,2025-12-23 18:00:00-05:00,1.17832,True,False,0,0,0.0009789285714286247,0,0,0,0,0,0,-4.239165223620766e-06,0
2025-12-23 19:00:00-05:00,1.179475,1.179915,1.17903,1.1799,-1.0,-1.0,-1,0.0001,1.179457,1.1796875,1.1784229166666667,1,0,0,0,1,0,1.175965,0,1,1,0,0,0,1.1764,0.0,2025-12-23 19:00:00-05:00,1.17832,False,False,0,0,0.0009807142857143347,0,0,0,0,0,0,0.000360264904558859,1
