,Equity
0,10000.0
1,9999.383288458394
2,9998.936861045348
3,10000.36068810064
4,9999.643872453886
5,10000.125878478488
6,10000.24422999916
7,10001.980016054158
8,10002.072683637993
9,10001.546926023573
10,10004.284597781087
11,10005.792864213656
12,10007.814702677137
13,10009.435041647828
14,10007.8118400276
15,10010.910714337524
16,10009.279085017424
17,10007.50988607735
18,10008.843750940878
19,10006.853119189838
20,10007.847703772173
21,10007.190870214621
22,10007.046335597506
23,10007.34124229052
24,10006.226192006541
25,10007.795426961775
26,10006.70848410661
27,10006.438779138229
28,10006.805544899218
29,10006.556421731857
30,10006.089764658946
31,10004.1554576168
32,10004.163244121099
33,10003.035221842842
34,10001.862441038418
35,10002.31790863156
36,10002.710437923
37,10001.728390210501
38,10002.28898395522
39,9997.814495173727
40,9998.6878953009
41,9999.00897640831
42,10000.762133585997
43,10000.38979286436
44,10000.59708686258
45,9999.419223508396
46,9997.479619679705
47,9997.688091605978
48,9998.54757961159
49,9999.609256609729
50,10000.000204311415
51,9998.272804533282
52,9997.63996720679
53,9996.73024125346
54,9996.12522020641
55,9995.637933558612
56,9994.266108380167
57,9994.120907119557
58,9994.057064696368
59,9994.916294664812
60,9993.790844568712
61,9992.8838628635
62,9992.776543116459
63,9992.592630362247
64,9993.100458824476
65,9992.928445683525
66,9993.237752772853
67,9992.24648588421
68,9992.278134458993
69,9992.537187634998
70,9992.553140865828
71,9992.609343522676
72,9992.734781114206
73,9992.811957417254
74,9992.535059980517
75,9992.904995930556
76,9992.826367232074
77,9992.605422027642
78,9992.385457698623
79,9991.79662910446
80,9991.471234483322
81,9990.733651961988
82,9990.687700428758
83,9990.008662089838
84,9990.033362815306
85,9990.366988026035
86,9989.559321742123
87,9989.369446241402
88,9990.13060685996
89,9989.567010046812
90,9989.565225357986
91,9990.194645260284
92,9990.28644042253
93,9990.638638843373
94,9990.580918295915
95,9990.512001422094
96,9990.030993343897
97,9990.611907936276
98,9991.101966143291
99,9991.30070355848
100,9990.869478437018
101,9990.50470845847
102,9989.969232505691
103,9990.030475072033
104,9990.391935300653
105,9991.134278344081
106,9990.621274895444
107,9994.206856791825
108,9994.888375459814
109,9994.407700860571
110,9994.213583679106
111,9993.618177174203
112,9993.418151700005
113,9991.847942948454
114,9991.985871519868
115,9991.888536371483
116,9991.81665233301
117,9991.760697864618
118,9991.16870273074
119,9991.288333678964
120,9991.693447505826
121,9991.98331177766
122,9991.925367767679
123,9992.37956165243
124,9991.52081240246
125,9991.093562775435
126,9991.447622990885
127,9990.7760615119
128,9990.622887326292
129,9990.49725865699
130,9991.145112049155
131,9991.05623954141
132,9990.871008987418
133,9994.92337112237
134,9996.651851561026
135,9997.730064045081
136,9997.816784036653
137,9996.821306842836
138,9997.028568491376
139,9996.969768309613
140,9997.105601030762
141,9996.563536023903
142,9996.652380400588
143,9997.09687147835
144,9997.355037988964
145,9998.395826128293
146,9997.541606796516
147,9997.63292136665
148,9997.93547876578
149,9998.06551190706
150,9997.445035292687
151,9997.72192053999
152,9998.66933682891
153,10001.703362503154
154,10002.616452034574
155,10002.196718411004
156,10002.530230666967
157,10003.11514700901
158,10002.248985746473
159,10003.362286916828
160,10003.998147485048
161,10002.834976007214
162,10003.107475999728
163,10004.854737355801
164,10006.004810639612
165,10006.369763861925
166,10007.575230464892
167,10007.377309044907
168,10006.673957889774
169,10006.607816548425
170,10007.048119004978
171,10006.815420810157
172,10007.169322984684
173,10007.815382630022
174,10008.626719169688
175,10007.733657772449
176,10007.905240106064
177,10009.13646953707
178,10010.935377100035
179,10011.825573973249
180,10010.640095227018
181,10011.506639693247
182,10012.351596264582
183,10011.000708002673
184,10010.868776676714
185,10011.25683204258
186,10011.614032327538
187,10011.687652164335
188,10011.415235550381
189,10011.474365679329
190,10011.098104995697
191,10011.157055272455
192,10011.277271562116
193,10010.97878872572
194,10011.204204769829
195,10011.355059707204
196,10010.713127369827
197,10011.28222150985
198,10011.01899641884
199,10011.274353099101
200,10009.991814473266
201,10009.328121167468
202,10009.13692972397
203,10007.913376418242
204,10008.05647216062
205,10009.123116211724
206,10008.247652281967
207,10007.644795060432
208,10008.902536314676
209,10009.84054816502
210,10009.800404339789
211,10011.318140347334
212,10011.609425546298
213,10011.266696505161
214,10010.877130526054
215,10010.621660668623
216,10011.528224550655
217,10013.560606743195
218,10012.787119470666
219,10011.398094165494
220,10011.360165137283
221,10010.261639872508
222,10009.942620304168
223,10008.457141802597
224,10008.285656415637
225,10008.833017535893
226,10009.468144218652
227,10009.330645597849
228,10007.607602578819
229,10007.7681158954
230,10008.365091657186
231,10008.527329749719
232,10009.824614821066
233,10008.956762830658
234,10010.370621912649
235,10011.917104202104
236,10009.419444083793
237,10007.878470883987
