Time,Close,Renko_Value,Blue,Red,Yellow,Blue_Yellow,Red_Yellow,Flag,Open,High,Low,volume,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,Ren_Value,Increase,Blue/Yellow,Red/Yellow,Frac_Value,EndTime_fr,HI_Value,BearWarning,BullWarning,OBV,VWAP,peak,crust,atr,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,returns,t_dir,volatility_h1,pnn_0,pnn_1,pnn_2,pnn_3,pnn_4,pnn_5,pnn_6,pnn_7,pnn_8,pnn_9,pnn_10,pnn_11,pnn_12,pnn_13,pnn_14,pnn_15,pnn_16,pnn_17,pnn_18,pnn_19,pnn_20,pnn_21,pnn_22,pnn_23,pnn_24,pnn_25,pnn_26,pnn_27,pnn_28,pnn_29,pnn_30,pnn_31,pnn_32,pnn_33,pnn_34,pnn_35,pnn_36,pnn_37,pnn_38,pnn_39,pnn_40,pnn_41,pnn_42,pnn_43,pnn_44,pnn_45,pnn_46,pnn_47,pnn_48,pnn_49,pnn_50,pnn_51,pnn_52,pnn_53,pnn_54,pnn_55,pnn_56,pnn_57,pnn_58,pnn_59,pnn_60,pnn_61,pnn_62,pnn_63,pnn_64,pnn_65,pnn_66,pnn_67,pnn_68,pnn_69,pnn_70,pnn_71,pnn_72,pnn_73,pnn_74,pnn_75,pnn_76,pnn_77,pnn_78,pnn_79,pnn_80,pnn_81,pnn_82,pnn_83,pnn_84,pnn_85,pnn_86,pnn_87,pnn_88,pnn_89,pnn_90,pnn_91,pnn_92,pnn_93,pnn_94,pnn_95,pnn_96,pnn_97,pnn_98,pnn_99,Class,Target_State
2010-07-15 10:00:00+00:00,1.28145,1.28145,1,0,1,1,0,0,1.27928,1.28347,1.27819,3115.0,1.277362,1.280355,1.3018529166666668,0,0,1,0,0,1,1.27977,0,0,0,1.27125,2010-07-15 10:00:00+00:00,1.27977,False,False,4832.0,1.2763720193600432,0,0,0.0139478571428572,0,0,0,0,0,0,0.0017104635307687,1,0.0012328428572936,0.13522927,0.051118672,0.13147947,-0.24567737,-0.16807665,-0.12727934,-0.11719407,0.25455755,0.09008312,-0.112006456,-0.064857826,-0.15769069,-0.13484232,0.06803966,0.30632204,0.22587702,0.32817647,-0.15756865,0.05310852,-0.03671945,0.20002517,0.01659811,-0.36964723,0.2081641,-0.16884433,-0.21032764,-0.13998356,-0.05050946,-0.02806539,-0.08796431,-0.07972147,-0.11166626,0.062726185,0.101577796,-0.0210956,0.10935559,0.004341271,-0.08950434,-0.008916955,-0.31105787,-0.18243077,0.04032077,-0.064444214,-0.1595344,0.25710416,-0.16538806,-0.24762924,0.15941428,0.32611865,-0.29184243,-0.32564616,-0.0039168354,0.09273345,0.051981375,-0.087077186,0.1548028,-0.00067142677,-0.20941013,-0.34422278,0.081102625,0.09865734,0.10081686,0.45262495,-0.24230056,-0.1090279,-0.14509052,0.1581665,-0.10614974,-0.11141291,-0.055365577,-0.26492018,0.13766223,-0.23372415,0.06015408,0.10357479,-0.11679643,0.13389465,0.20284425,0.13012658,0.029111661,0.1345456,0.1913737,-0.05387143,0.029685665,0.041957766,0.11310852,-0.060313888,0.20278847,0.016503114,-0.32115793,0.012672248,-0.07124174,0.19309437,-0.020403087,0.098637834,-0.11229156,0.1385169,0.054257087,0.0388336,-0.10622097,3,3
2010-07-15 12:00:00+00:00,1.2859,1.2859,1,0,1,1,0,0,1.28145,1.28642,1.28145,3773.0,1.2813659999999998,1.283665,1.2771158333333337,1,0,0,0,1,0,1.2859,0,0,0,1.27125,2010-07-15 12:00:00+00:00,1.27977,False,False,6842.0,1.2779830172351885,0,0,0.0142192857142857,0,0,0,0,0,0,0.0034822204522844,1,0.0011769069237023,-0.07581055,0.0091121625,0.14042166,-0.37126005,-0.3656677,-0.09283296,-0.32387912,-0.5836027,-0.086095065,-0.0042406134,0.43947446,-0.40321472,-0.043367203,0.27330893,0.2982117,-0.22755823,0.002934698,0.18892078,0.08896819,0.35177615,-0.23220433,-0.036178093,0.3564571,0.11099944,-0.4247123,0.27644455,0.32749832,0.23354553,-0.31644383,0.18927151,0.4504357,0.3018905,0.49590218,0.16634397,0.59530395,-0.5523645,-0.45425227,-0.21711382,-0.13565423,-0.6424258,-0.32206503,0.10248863,-0.07311548,-0.19445072,-0.4102422,-0.17771953,-0.28176773,0.39494878,0.0070560714,0.14172837,0.14130065,-0.28865328,0.1492711,0.21795137,-0.14207953,0.107054755,-0.20122522,0.45301026,-0.6663799,0.33377242,0.35056958,-0.19234797,0.21040997,0.43238115,-0.30454677,0.2502315,0.52263373,0.06527014,0.327676,-0.030153533,0.11606768,-0.4808463,-0.111269705,-0.16206214,0.2227581,0.16192211,0.23731145,-0.038512588,-0.257603,0.40850067,0.3859629,-0.6907528,-0.34048474,-0.20578414,-0.27387682,0.1140751,0.0073049776,0.11177772,-0.049637534,-0.31692073,-0.14144896,-0.054554336,0.40696466,0.028486606,-0.037886392,-0.10146771,-0.04761962,-0.19741416,-0.19776502,-0.33071306,3,3
2010-07-15 13:00:00+00:00,1.28758,1.28758,1,0,1,1,0,0,1.28588,1.28919,1.28541,3923.0,1.283124,1.28674,1.2783866666666668,1,0,0,0,1,0,1.2859,0,0,0,1.27125,2010-07-15 13:00:00+00:00,1.27977,False,False,10765.0,1.2791679529789444,0,0,0.0144053571428571,0,0,0,0,0,0,0.0013056252534714,1,0.0036756936766499,-0.062369447,-0.0069643855,0.12297315,-0.34305218,-0.3262724,-0.07308904,-0.30554378,-0.5382063,-0.07413316,-0.00239918,0.4067045,-0.36244836,-0.041257482,0.24282932,0.27672407,-0.2104013,0.0011762865,0.16665779,0.07857469,0.3268385,-0.21137275,-0.019185504,0.32473606,0.09682764,-0.3846237,0.2580255,0.28857958,0.2166517,-0.2941507,0.16454089,0.40908498,0.272341,0.4415434,0.13925727,0.54092693,-0.499599,-0.41511458,-0.19624469,-0.11067788,-0.59001535,-0.28631645,0.10516602,-0.061448168,-0.17021757,-0.36899292,-0.15131615,-0.25243592,0.34801257,0.0027208216,0.11927758,0.13073066,-0.26588038,0.1344196,0.20414317,-0.13165246,0.09010109,-0.1932027,0.4165612,-0.6120632,0.31081262,0.33060732,-0.18054384,0.17772114,0.39229813,-0.26518002,0.21730265,0.49048027,0.06801739,0.31360766,-0.021975225,0.12096454,-0.4352005,-0.091585375,-0.13737904,0.20011632,0.14251472,0.20619331,-0.044712648,-0.22919227,0.37475252,0.35117656,-0.6428448,-0.30950043,-0.18370444,-0.26058453,0.09596884,0.020898003,0.106400326,-0.045076467,-0.3017342,-0.14619617,-0.038397107,0.38380638,0.037596464,-0.023169525,-0.07884586,-0.040393904,-0.16553599,-0.17482248,-0.30970615,3,3
2010-07-15 14:00:00+00:00,1.28931,1.28931,1,0,1,1,0,0,1.2876,1.28966,1.2855,4579.0,1.285134,1.2884449999999998,1.279555,1,0,0,0,1,0,1.2859,0,0,0,1.27125,2010-07-15 14:00:00+00:00,1.27977,False,False,15344.0,1.2804454737015845,0,0,0.0145989285714286,0,0,0,0,0,0,0.0013427040035946,1,0.0017577046953911,0.15999064,0.082765244,0.11984854,-0.2652894,-0.14410017,-0.120902695,-0.15090777,0.269748,0.09754318,-0.101932585,-0.038773157,-0.15782923,-0.10711184,0.05095423,0.31672835,0.2308026,0.28012085,-0.16866483,0.06078935,-0.04285575,0.18898526,-0.00951132,-0.36471656,0.20975871,-0.14944708,-0.19411916,-0.131991,-0.041662976,0.01318188,-0.068615146,-0.07472153,-0.08133227,0.09694876,0.096829765,-0.03376201,0.15064254,0.029356908,-0.09471987,-0.037586186,-0.29951778,-0.14916752,0.006713001,-0.01962708,-0.13539049,0.27183312,-0.19552042,-0.2612165,0.16027963,0.32370916,-0.31417102,-0.32813096,0.0042134523,0.11812948,0.088071875,-0.077174634,0.16072157,0.009306133,-0.1849872,-0.3022349,0.07499627,0.12156549,0.10369337,0.46197575,-0.24535975,-0.12580083,-0.18438311,0.15405425,-0.08221477,-0.09376526,-0.032419197,-0.28639352,0.13186339,-0.23269416,0.07525526,0.09932854,-0.09709164,0.101070166,0.16673738,0.16131203,0.014263959,0.117997356,0.16564514,-0.04566387,0.026486501,0.03121035,0.10674947,-0.07807307,0.21118543,-0.0029689241,-0.34332883,0.026987221,-0.09151442,0.17565939,-0.033580866,0.08967519,-0.123363286,0.10551359,0.046696305,0.032797094,-0.10337566,3,2
2010-07-15 16:00:00+00:00,1.28778,1.28926,0,1,1,0,1,1,1.28922,1.28926,1.28691,2070.0,1.287952,1.288485,1.2818383333333334,1,0,0,0,1,0,1.2859,0,0,0,1.27125,2010-07-15 16:00:00+00:00,1.28926,False,False,9925.0,1.2815100373464845,0,0,0.0031171428571429,0,0,0,0,0,0,-0.0010943085411997,0,0.0011804784752481,-0.029830884,-0.037660412,0.14238435,-0.35773546,-0.30970904,-0.21131097,-0.34567857,-0.44698417,-0.16435795,0.04514104,0.3143596,-0.29994124,-0.04382449,0.24880351,0.2357726,-0.23583315,0.032263197,0.17374682,0.15076719,0.1624375,-0.18777058,-0.08304232,0.19626793,0.096044876,-0.515736,0.214746,0.43894655,0.26866707,-0.2799022,0.16922657,0.39497426,0.3276942,0.54868877,0.2646122,0.5198488,-0.4962264,-0.32581848,-0.19785345,-0.21854024,-0.5182401,-0.26535815,-0.08520838,-0.0030947886,-0.29918018,-0.3975398,-0.30516014,-0.4183602,0.40927082,0.09475743,0.15573,-0.025521914,-0.302902,0.18332197,0.13194133,-0.085213035,0.12568839,0.0027227781,0.4402849,-0.6040256,0.21254551,0.3783381,-0.091531426,0.27987918,0.34146765,-0.33648884,0.29472676,0.3319584,-0.04327313,0.1482377,-0.039301887,-0.026202595,-0.35686836,-0.20935898,-0.14022106,0.30633146,0.24158129,0.34460047,-0.051162124,-0.2666135,0.3483159,0.34516677,-0.51025695,-0.34365115,-0.3199008,-0.105808504,0.18211217,-0.09726921,0.12535605,-0.041977398,-0.20358598,0.067761175,-0.082128726,0.2610736,-0.040038764,-0.17993484,-0.2317683,-0.09939836,-0.21798493,-0.2771627,-0.29257113,2,1
2010-07-15 19:00:00+00:00,1.2931,1.29455,1,0,0,0,0,2,1.2896,1.29455,1.28911,2280.0,1.289774,1.29134,1.286049166666667,1,0,0,0,1,0,1.2931,0,1,0,1.29172,2010-07-15 19:00:00+00:00,1.29055,False,False,16159.0,1.2827103412144565,0,0,0.0035742857142857,0,0,0,0,0,0,0.0027258523545665,1,0.0012094702656169,-0.024554439,-0.032155164,-0.0012325179,-0.21970898,-0.30428195,0.010598745,-0.27517557,-0.50360835,-0.13425957,0.07191056,0.30431217,-0.23545471,-0.0058480483,0.22583081,0.2188203,-0.12698308,0.098605335,-0.03387078,0.14380202,0.23278043,-0.2034262,-0.0762536,0.24448296,-0.0947599,-0.38530722,0.13199338,0.27934206,0.22155371,-0.39411566,0.1350954,0.3946761,0.3274559,0.41689533,0.19151932,0.39454103,-0.4526784,-0.31538513,-0.11223297,0.09063105,-0.43152735,-0.20580648,0.054891802,0.08996959,-0.11188678,-0.3126214,-0.1217173,-0.2867135,0.27391696,0.082999855,0.14570701,0.14116217,-0.36669916,0.14546908,0.12671123,-0.14086024,0.1384595,-0.13375087,0.3494672,-0.6167096,0.15147471,0.20228441,-0.22174299,0.09808938,0.2933742,-0.19391873,0.104331,0.47408196,0.031914577,0.21502282,-0.017412143,0.06723483,-0.24823475,-0.04799667,-0.026397314,0.11182925,0.10143786,0.12873426,-0.06214201,-0.21692799,0.30127007,0.30924663,-0.4741238,-0.33755642,-0.16997135,-0.19797188,0.13597071,0.05663396,0.079775095,0.06627024,-0.30170903,-0.14297438,-0.056106538,0.3809589,0.05640091,-0.050020084,-0.036606926,-0.0053226426,-0.13823296,-0.2285659,-0.2506174,1,0
2010-07-15 21:00:00+00:00,1.29314,1.29498,0,1,0,0,0,1,1.29488,1.29498,1.29279,1067.0,1.291992,1.29403,1.28855,1,0,0,0,1,0,1.2931,0,0,0,1.29172,2010-07-15 21:00:00+00:00,1.29498,False,False,17381.0,1.283471158855941,0,0,0.0035571428571429,0,0,0,0,0,0,-0.0013755479244425,0,0.0018338636032985,0.015037313,-0.010270933,0.021875251,-0.11731744,-0.03070555,-0.062443286,-0.052490275,-0.028121974,-0.004723265,-0.0038527027,0.020219332,-0.11880974,-0.033952255,0.05065599,0.10395557,0.008758263,0.0846912,0.0029010903,0.044527415,0.012213765,0.048799396,0.009062694,-0.067645535,0.055115767,-0.089667335,0.022349,0.016898438,0.07248412,-0.050247665,0.0040870924,0.030719787,-0.0051581953,0.03996879,0.048856147,0.08518471,-0.06860155,-0.009903772,-0.021498458,0.06641743,-0.10690142,-0.09131723,-0.008721576,-0.028390627,-0.07049786,0.04929606,-0.058961343,-0.11285172,0.0662811,0.10971622,0.009991292,-0.07964222,-0.030513886,0.03410079,0.01914213,-0.04793967,0.05279497,0.0010217228,0.072896555,-0.18880364,0.076560654,0.043409087,0.055197395,0.10018563,-0.06869481,0.027634475,-0.01920151,0.08805826,-0.05530776,0.022052955,0.057833306,-0.023340888,-0.015276536,-0.07913097,0.051128276,0.063680336,0.019980758,0.07678595,0.0032002218,-0.013811598,0.04762748,0.010809084,-0.03190183,-0.0023117047,-0.0026780497,0.01002948,0.019320166,-0.058804303,0.09681848,0.0153631605,-0.09690192,-0.004379466,-0.039482452,0.11015668,0.0145053025,-0.026375357,-0.0113386065,0.0023202728,0.006846117,0.007932841,-0.10675433,0,0
2010-07-15 22:00:00+00:00,1.29213,1.29213,0,1,0,0,0,0,1.29316,1.2936,1.2921,1364.0,1.292574,1.292635,1.28944,1,0,0,0,1,0,1.2931,0,0,0,1.29542,2010-07-15 22:00:00+00:00,1.29498,False,False,16017.0,1.2836951637743004,0,0,0.0032228571428571,1,0,0,0,0,0,-0.0007813497633782,0,0.0018102480594322,0.1894791,0.10465984,0.10226814,-0.32492357,-0.14384894,-0.12852438,-0.11037296,0.28009522,0.09446791,-0.011822991,0.012471143,-0.20218468,-0.11784941,-0.043864653,0.33463377,0.19458856,0.2521132,-0.1618174,0.07863842,-0.058702126,0.21695156,-0.08279015,-0.371784,0.22877678,-0.15403251,-0.14334372,-0.19358283,0.04790008,0.006943388,-0.0669222,-0.05491379,-0.037387196,0.093417615,0.09828655,-0.08973638,0.18362156,0.033059806,-0.09063475,-0.16644171,-0.30034673,-0.1667594,-0.029489249,0.055736184,-0.10554509,0.28552347,-0.20636132,-0.3184905,0.14132126,0.34747732,-0.35404846,-0.39522415,-0.027476136,0.2571956,0.12909195,-0.13335504,0.1672348,0.01988503,-0.12894137,-0.2681122,0.11907569,0.17139672,0.12690149,0.51559526,-0.1635812,-0.082636096,-0.199764,0.16177687,-0.061598092,-0.033731785,0.02923124,-0.34013042,0.14266247,-0.21052243,0.12273015,0.077015,-0.13439268,0.13453285,0.106290534,0.259437,0.050749384,0.09099015,0.23874083,-0.007894163,-0.011231352,-0.069447815,0.11982124,-0.09334229,0.24155189,0.032184068,-0.37043262,0.033540078,-0.14119187,0.16404773,-0.057877973,0.063165694,-0.14551301,0.049649917,0.04519873,0.05276321,-0.14848906,0,2
2010-07-16 00:00:00+00:00,1.29118,1.29118,0,1,1,0,1,0,1.29182,1.29254,1.29113,1305.0,1.292644,1.291515,1.2907483333333334,0,1,0,0,1,0,1.2931,0,0,0,1.29542,2010-07-16 00:00:00+00:00,1.29498,False,False,13655.0,1.2840289516582857,0,0,0.0027992857142857,0,0,0,0,0,0,-0.0005187706027618,0,0.0011965923563327,-0.07295148,0.017167876,0.03900358,-0.35194752,-0.33350706,-0.20790987,-0.31384316,-0.4730327,-0.19938998,0.12578994,0.34676024,-0.3519519,-0.0189632,0.25293094,0.27516845,-0.1997993,0.06966935,0.21806908,0.14462908,0.09812355,-0.23050348,-0.12280527,0.25382268,0.11028721,-0.47842407,0.22841403,0.38397378,0.3620464,-0.29834732,0.16914696,0.3816157,0.25353315,0.5309004,0.3625481,0.463817,-0.5028115,-0.2847959,-0.09737473,-0.246977,-0.45266786,-0.23276746,-0.101465575,-0.002116358,-0.2785334,-0.5212237,-0.2919541,-0.37664205,0.38183632,0.013006146,0.108712494,-0.01449761,-0.28763404,0.17779636,0.10279469,-0.015936594,0.16664214,-0.062047858,0.40599808,-0.5283237,0.18080412,0.381612,-0.11203057,0.29416823,0.4133527,-0.28719562,0.20159575,0.27505234,-0.048336014,0.08133916,-0.008363737,-0.1689787,-0.32651737,-0.15286508,-0.15064432,0.27813634,0.20324603,0.34146258,-0.11459571,-0.30585635,0.35578197,0.35187432,-0.41852334,-0.3176219,-0.24461529,-0.103789724,0.17576349,-0.072091684,0.023314275,0.005985763,-0.24480884,0.07176194,-0.11343257,0.23668754,-0.09615792,-0.23750891,-0.12984902,-0.12759085,-0.097235546,-0.3173504,-0.2726541,2,3
2010-07-16 01:00:00+00:00,1.29193,1.29207,1,0,1,1,0,2,1.2912,1.29207,1.29074,1080.0,1.292046,1.291555,1.2911108333333332,0,1,0,0,1,0,1.2931,0,0,0,1.29542,2010-07-16 01:00:00+00:00,1.29498,False,True,14735.0,1.2841808759591928,0,0,0.00279,0,0,0,0,1,0,0.000580695379659,1,0.0012860748479871,0.21088131,0.18332024,0.12782037,-0.36014763,-0.18688312,-0.11183566,-0.10900223,0.32325733,0.14049782,0.048862062,-0.052695468,-0.23881546,-0.09271404,-0.06053721,0.32923418,0.19314083,0.29400554,-0.19425005,0.07418126,-0.032264087,0.2434319,-0.101083845,-0.3245681,0.2807385,-0.13644472,-0.1806672,-0.22373153,-0.04775218,0.012065254,-0.05474023,-0.028500529,-0.050703812,0.0908895,0.18215132,-0.071759894,0.13700172,0.0037033446,-0.11682466,-0.13030377,-0.2861478,-0.18958531,-0.036184452,0.060046047,-0.07484586,0.28553063,-0.16103557,-0.23132308,0.13476889,0.3529498,-0.3544794,-0.3873243,-0.05222123,0.27906638,0.060719043,-0.15519588,0.14092892,0.017886626,-0.16761406,-0.28378084,0.10688344,0.16175929,0.13274139,0.41926432,-0.20050687,-0.1106348,-0.24730188,0.14195938,-0.10285745,-0.040706493,0.029668037,-0.4069489,0.17536013,-0.17671902,0.022590319,0.07658227,-0.18418571,0.09918012,0.074518114,0.30980226,0.055466615,0.109539695,0.24122584,-0.03970011,-0.07975711,-0.033009987,0.119484685,-0.028286923,0.16757073,0.03598451,-0.34500355,0.0671871,-0.15504523,0.23286639,0.014045278,0.11415854,-0.115133435,0.06553383,0.03131056,0.010206057,-0.1421014,3,0
