Time,Open,High,Low,Close,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,Ren_Value,Blue,Red,Increase,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,EndTime_fr,HI_Value,BearWarning,BullWarning,peak,crust,atr,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,returns,t_dir
2005-03-10 17:00:00+00:00,1.34085,1.3419,1.3401,1.3418,1.34171,1.341325,1.3420958333333333,0,0,0,1,0,1,1.342,1,0,0,0,0,0,1.3398,2.0,2005-03-10 17:00:00+00:00,1.3419,False,False,0,0,0.0022535714285713943,0,0,1,0,0,0,0.0007082549268162878,1
2005-03-10 18:00:00+00:00,1.3418,1.3448,1.3417,1.3448,1.34201,1.3433000000000002,1.3422791666666667,0,0,1,0,0,0,1.342,1,0,0,0,0,0,1.3398,0.0,2005-03-10 18:00:00+00:00,1.3419,False,False,1,0,0.0023392857142856866,0,0,0,0,0,0,0.00223330696561807,1
2005-03-10 19:00:00+00:00,1.3448,1.345,1.3424,1.3426,1.34219,1.3437000000000001,1.3421458333333334,1,0,0,0,1,0,1.342,1,0,0,0,0,0,1.3398,0.0,2005-03-10 19:00:00+00:00,1.3419,True,False,0,0,0.002407142857142814,0,0,0,0,0,0,-0.0016372705897546944,0
2005-03-10 20:00:00+00:00,1.3426,1.3434,1.3425,1.3433,1.34267,1.34295,1.3421375,1,0,0,0,1,0,1.342,1,0,0,0,0,0,1.3398,0.0,2005-03-10 20:00:00+00:00,1.3434,False,True,0,0,0.0023928571428571016,0,0,0,0,1,0,0.000521240564316214,1
2005-03-10 21:00:00+00:00,1.3433,1.3433,1.3416,1.3419,1.34288,1.3426,1.3420708333333333,0,1,0,0,1,0,1.342,1,0,0,0,0,0,1.345,1.0,2005-03-10 21:00:00+00:00,1.3434,False,False,0,0,0.002285714285714256,1,0,0,0,0,0,-0.0010427529620552702,0
2005-03-11 00:00:00+00:00,1.3422,1.3428,1.3418,1.3427,1.34306,1.3423,1.3422541666666667,0,1,0,0,1,0,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 00:00:00+00:00,1.3434,False,True,0,0,0.0022142857142856765,0,0,0,0,1,0,0.0005959919717502881,1
2005-03-11 01:00:00+00:00,1.3427,1.3432,1.3424,1.3429,1.34268,1.3428,1.3423458333333336,1,0,0,0,1,0,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 01:00:00+00:00,1.3432,False,False,0,0,0.0020857142857142463,0,0,0,0,0,0,0.0001489425084672282,1
2005-03-11 02:00:00+00:00,1.3429,1.3434,1.3421,1.3426,1.34268,1.34275,1.3424458333333333,1,0,0,0,1,0,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 02:00:00+00:00,1.3434,False,False,0,0,0.001957142857142816,0,0,0,0,0,0,-0.00022342208247837854,0
2005-03-11 03:00:00+00:00,1.3426,1.3429,1.3422,1.3427,1.34256,1.34265,1.3423958333333335,1,0,0,0,1,0,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 03:00:00+00:00,1.3434,False,True,0,0,0.0018285714285713858,0,0,0,0,1,0,7.447957401114729e-05,1
2005-03-11 04:00:00+00:00,1.3427,1.3428,1.3422,1.3426,1.3427,1.34265,1.3424708333333333,0,1,0,0,1,0,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 04:00:00+00:00,1.3434,False,False,0,0,0.00174999999999995,0,0,0,0,0,0,-7.447957401128973e-05,0
2005-03-11 05:00:00+00:00,1.3426,1.3434,1.3425,1.3428,1.3427200000000001,1.3427,1.3426291666666668,0,1,0,0,1,0,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 05:00:00+00:00,1.3434,False,False,0,0,0.0016142857142856634,0,0,0,0,0,0,0.00014895360122869198,1
2005-03-11 06:00:00+00:00,1.3428,1.3433,1.3419,1.3427,1.34268,1.34275,1.3427833333333332,0,0,1,0,0,1,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 06:00:00+00:00,1.3433,False,False,0,0,0.0014999999999999458,0,0,0,0,0,0,-7.447402721739857e-05,0
2005-03-11 07:00:00+00:00,1.3427,1.3432,1.3422,1.3426,1.34268,1.34265,1.34285,0,0,0,1,0,1,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 07:00:00+00:00,1.3433,False,False,0,0,0.0013642857142856593,0,0,0,0,0,0,-7.447957401128973e-05,0
2005-03-11 08:00:00+00:00,1.3426,1.3433,1.3413,1.3416,1.34246,1.3420999999999998,1.3425833333333335,0,0,0,1,0,1,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 08:00:00+00:00,1.3433,False,False,0,0,0.0014142857142856538,0,0,0,0,0,0,-0.0007451009956520866,0
2005-03-11 09:00:00+00:00,1.3416,1.3419,1.3402,1.3413,1.3422,1.34145,1.342475,0,0,0,1,0,1,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 09:00:00+00:00,1.3433,False,False,0,0,0.0014071428571427974,0,0,0,0,0,0,-0.0002236386009543885,0
2005-03-11 10:00:00+00:00,1.3413,1.3418,1.3402,1.3413,1.3418999999999999,1.3413,1.3423083333333334,0,0,0,1,0,1,1.342,1,0,0,0,0,0,1.345,0.0,2005-03-11 10:00:00+00:00,1.3433,False,False,0,0,0.0012999999999999362,0,0,0,0,0,0,0.0,0
2005-03-11 11:00:00+00:00,1.3413,1.3421,1.341,1.341,1.3415599999999999,1.3411499999999998,1.3422333333333334,0,0,0,1,0,1,1.342,1,0,0,0,0,0,1.3402,2.0,2005-03-11 11:00:00+00:00,1.3421,True,False,0,0,0.0011928571428570908,0,0,1,0,0,1,-0.00022368862636609724,0
2005-03-11 12:00:00+00:00,1.341,1.3418,1.341,1.3415,1.34134,1.34125,1.3421333333333332,0,0,0,1,0,1,1.342,1,0,0,0,0,0,1.3402,2.0,2005-03-11 12:00:00+00:00,1.3421,False,False,0,0,0.0011857142857142503,0,0,1,0,0,0,0.0003727865840002372,1
2005-03-11 13:00:00+00:00,1.3415,1.3477,1.3392,1.34095,1.34121,1.3412250000000001,1.3419708333333331,0,0,1,0,0,1,1.342,1,0,0,0,0,0,1.3402,0.0,2005-03-11 13:00:00+00:00,1.3421,True,False,0,1,0.0016714285714285301,0,0,0,0,0,1,-0.0004100728868811347,0
2005-03-11 14:00:00+00:00,1.34095,1.34465,1.33985,1.3428,1.34151,1.341875,1.3419874999999999,0,0,1,0,0,1,1.342,1,0,0,0,0,0,1.3402,0.0,2005-03-11 14:00:00+00:00,1.3421,False,False,0,0,0.0019428571428571034,0,0,0,0,0,0,0.001378668127082307,1
2005-03-11 15:00:00+00:00,1.3428,1.3468,1.34255,1.3461,1.34247,1.3444500000000001,1.3422708333333333,1,0,0,0,1,0,1.342,1,0,0,0,0,0,1.3477,1.0,2005-03-11 15:00:00+00:00,1.3421,False,False,0,0,0.0021892857142856875,1,0,0,0,0,0,0.0024545365441676244,1
2005-03-11 16:00:00+00:00,1.3461,1.34785,1.3455,1.3469,1.34365,1.3465,1.3426291666666665,1,0,0,0,1,0,1.342,1,0,0,0,0,0,1.3477,0.0,2005-03-11 16:00:00+00:00,1.3421,False,False,1,0,0.0022642857142857026,0,0,0,0,0,0,0.0005941329547218071,1
2005-03-11 17:00:00+00:00,1.3469,1.3472,1.3459,1.3463,1.34461,1.3466,1.3429208333333333,1,0,0,0,1,0,1.342,1,0,0,0,0,0,1.3477,0.0,2005-03-11 17:00:00+00:00,1.3421,True,False,0,0,0.002307142857142841,0,0,0,0,0,0,-0.0004455666195799739,0
2005-03-11 18:00:00+00:00,1.3463,1.3465,1.3461,1.3463,1.34568,1.3463,1.3432208333333333,1,0,0,0,1,0,1.342,1,0,0,0,0,0,1.34785,1.0,2005-03-11 18:00:00+00:00,1.3465,False,False,0,0,0.002292857142857128,1,0,0,0,0,0,0.0,0
2005-03-11 19:00:00+00:00,1.3463,1.3464,1.3453,1.3459,1.3463,1.3461,1.3434958333333331,0,1,0,0,1,0,1.342,1,0,0,0,0,0,1.34785,0.0,2005-03-11 19:00:00+00:00,1.3465,False,False,0,0,0.002307142857142857,0,0,0,0,0,0,-0.00029715474551915666,0
