,Time,action,Ren_Value,Blue,Red,dir,Yellow,Blue/Yellow,Red/Yellow,Frac_Value,Flag,HI_Value,BearWarning,BullWarning,OBV,VWAP,bullish_engulfing,bullish_harami,dark_cloud_cover,doji,doji_star,dragonfly_doji,gravestone_doji,hammer,hanging_man,morning_star,morning_star_doji,piercing_pattern,rain_drop,rain_drop_doji,shooting_star,star,Open,High,Low,Close,volume,complete,spread,returns,SMA_S,SMA_C,SMA_L,up_sma1,up_sma2,down_sma1,down_sma2,flat_sma1,flat_sma2,peak,crust,atr,buy_renko,sell_renko,neg_buy_renko,neg_sell_renko,buy_Frac,sell_Frac,neg_buy_Frac,neg_sell_Frac,hi_up,hi_down,t_dir
0,7/15/2022 1:00,0,1.00213,0,1,1,0,0,0,0.99515,0,1.00369,0,0,-14477,1.001635256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00183,1.00329,1.00171,1.00324,5494,1,0.00019,0.001396453,1.002226,1.00254,1.001658333,1,0,0,0,1,0,0,0,0.002564286,0,0,0,1,0,0,0,0,0,0,1
1,7/15/2022 2:00,0,1.00213,0,1,1,0,0,0,0.99515,0,1.00369,0,0,-10696,1.001679909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.00326,1.00404,1.00289,1.00364,3781,1,0.00015,0.000398629,1.002604,1.00344,1.002001667,1,0,0,0,1,0,1,0,0.002539286,0,0,0,1,0,0,0,0,0,0,1
2,7/15/2022 3:00,0,1.00213,0,1,1,0,0,0,0.99515,0,1.00369,1,0,-13891,1.001696604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00365,1.0037,1.00243,1.00249,3195,1,0.00016,-0.001146486,1.002756,1.003065,1.001988333,1,0,0,0,1,0,0,0,0.002202857,0,0,0,1,0,0,0,0,0,0,0
3,7/15/2022 4:00,0,1.00213,0,1,1,0,0,0,0.99515,0,1.00369,0,0,-11400,1.001715583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00249,1.00329,1.00218,1.00298,2491,1,0.00015,0.000488664,1.002838,1.002735,1.0023225,0,1,0,0,1,0,0,0,0.002,0,0,0,1,0,0,0,0,0,0,1
4,7/15/2022 5:00,0,1.00213,0,1,1,0,0,0,0.99515,0,1.00308,0,0,-14958,1.001724574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00297,1.00308,1.00175,1.00203,3558,1,0.00017,-0.000947626,1.002876,1.002505,1.002380833,0,1,0,0,1,0,0,0,0.001709286,0,0,0,1,0,0,0,0,0,0,0
5,7/15/2022 6:00,0,1.00213,0,1,1,0,0,0,0.99515,0,1.00308,0,0,-22657,1.001724011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00205,1.00241,1.00076,1.00155,7699,1,0.00016,-0.000479142,1.002538,1.00179,1.002270833,0,1,0,0,0,0,0,1,0.001452857,0,0,0,1,0,0,0,0,0,0,0
6,7/15/2022 7:00,0,1.00213,0,1,1,0,0,0,0.99515,0,1.00308,0,1,-14281,1.001773435,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00155,1.00349,1.00061,1.00279,8376,1,0.00016,0.001237315,1.002368,1.00217,1.002379167,0,0,0,1,0,1,0,0,0.001482857,0,1,0,0,0,0,0,0,0,0,1
7,7/15/2022 8:00,0,1.00213,0,1,1,0,0,0,0.99515,0,1.00324,0,0,-8309,1.001813013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00277,1.00324,1.00161,1.00303,5972,1,0.00016,0.000239304,1.002476,1.00291,1.00247,1,0,0,0,1,0,0,0,0.001417857,0,0,0,1,0,0,0,0,0,0,1
8,7/15/2022 9:00,0,1.00213,0,1,1,0,0,0,1.00061,2,1.00324,0,0,-2195,1.001886066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00303,1.00481,1.00276,1.0043,6114,1,0.00014,0.001265363,1.00274,1.003665,1.0026825,1,0,0,0,1,0,0,0,0.001425714,0,0,0,1,0,0,0,1,0,0,1
9,7/15/2022 10:00,0,1.00213,0,1,1,0,0,0,1.00061,0,1.00324,0,0,2511,1.001971021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00429,1.00588,1.00358,1.0058,4706,1,0.00014,0.001492463,1.003494,1.00505,1.003021667,1,0,0,0,1,0,0,0,0.001498571,0,0,0,1,0,0,0,0,0,0,1
